iter	RMSE
0	160.7960784
1	153.364786
2	146.3356807
3	139.6858125
4	133.3176612
5	127.3831628
6	121.6922475
7	116.3532487
8	111.311513
9	106.5550303
10	102.0289467
11	97.74738652
12	93.72646509
13	89.93770196
14	86.38456235
15	83.02080793
16	79.8537076
17	76.8116956
18	73.96873949
19	71.33951938
20	68.87193432
21	66.5563812
22	64.37499616
23	62.24523405
24	60.33987167
25	58.53677338
26	56.86749014
27	55.2581226
28	53.83716473
29	52.50542958
30	51.19564076
31	50.03782943
32	48.97720561
33	47.97603262
34	47.0771715
35	46.22453731
36	45.44975402
37	44.70749681
38	44.03293991
39	43.41881293
40	42.8641426
41	42.32086384
42	41.84821868
43	41.39985002
44	40.9875599
45	40.61748317
46	40.24863372
47	39.9496634
48	39.66789115
49	39.40928232
50	39.16307303
51	38.93313034
52	38.72927939
53	38.53431878
54	38.36246038
55	38.202529
56	38.04352439
57	37.90411616
58	37.77929402
59	37.66743977
60	37.55330135
61	37.46111483
62	37.35896155
63	37.28108737
64	37.19217787
65	37.11705398
66	37.03390532
67	36.96759784
68	36.90978859
69	36.84916681
70	36.78809128
71	36.72962705
72	36.68071276
73	36.63979137
74	36.59406184
75	36.55272888
76	36.50304475
77	36.46326227
78	36.42571905
79	36.40223625
80	36.36869842
81	36.34252347
82	36.30449746
83	36.26724132
84	36.23342689
85	36.2104995
86	36.19521232
87	36.16760858
88	36.13963172
89	36.1173581
90	36.08421235
91	36.06195678
92	36.03726275
93	36.02034588
94	36.00028901
95	35.97882124
96	35.95640803
97	35.94286956
98	35.9284654
99	35.91795791
100	35.89930087
101	35.87511628
102	35.85737506
103	35.84000441
104	35.82472888
105	35.80400585
106	35.79348429
107	35.77583628
108	35.75508995
109	35.74220348
110	35.73004031
111	35.71445488
112	35.70185501
113	35.68872659
114	35.67393663
115	35.65597024
116	35.64494762
117	35.63446019
118	35.61891002
119	35.60688708
120	35.59660734
121	35.58090199
122	35.56388287
123	35.55142802
124	35.53264353
125	35.51861601
126	35.50740518
127	35.49419962
128	35.483641
129	35.47082196
130	35.46047325
131	35.43505986
132	35.42566008
133	35.41712927
134	35.39927907
135	35.38024176
136	35.36927354
137	35.36203668
138	35.35105914
139	35.33865688
140	35.32841998
141	35.31649845
142	35.30769162
143	35.29705393
144	35.28395882
145	35.26947953
146	35.26425236
147	35.25928467
148	35.24472728
149	35.23311536
150	35.22283035
151	35.21352248
152	35.20322906
153	35.19299614
154	35.18450763
155	35.1741302
156	35.16453227
157	35.15559299
158	35.14136209
159	35.13190304
160	35.12164535
161	35.11542638
162	35.10906489
163	35.10075267
164	35.09574124
165	35.08620414
166	35.07946361
167	35.06791734
168	35.0573146
169	35.04719373
170	35.03418696
171	35.02829943
172	35.01994482
173	35.00961866
174	35.00248877
175	34.99157974
176	34.98280385
177	34.96979038
178	34.95806862
179	34.94821227
180	34.93651652
181	34.93103078
182	34.91968956
183	34.91143415
184	34.90318756
185	34.89538216
186	34.88942937
187	34.88075649
188	34.87088099
189	34.85714308
190	34.85192309
191	34.84143401
192	34.83044479
193	34.82459799
194	34.80778223
195	34.79967728
196	34.79101427
197	34.78737577
198	34.77921875
199	34.77464008
200	34.76740151
201	34.75824135
202	34.7438612
203	34.73548121
204	34.72846023
205	34.71641583
206	34.70742691
207	34.70024408
208	34.69266942
209	34.67924574
210	34.66954651
211	34.66139736
212	34.65384188
213	34.64794908
214	34.64108763
215	34.63385247
216	34.62528147
217	34.6211474
218	34.61631253
219	34.60759039
220	34.60148177
221	34.59204284
222	34.58474378
223	34.57942157
224	34.57021767
225	34.56415644
226	34.55601089
227	34.5473236
228	34.53813693
229	34.53281632
230	34.52670419
231	34.51807231
232	34.50977973
233	34.50555152
234	34.49803713
235	34.48911585
236	34.47520019
237	34.46932231
238	34.46152923
239	34.45364151
240	34.44645271
241	34.43802873
242	34.42786549
243	34.41805931
244	34.40661313
245	34.40057931
246	34.39278325
247	34.3843201
248	34.37570805
249	34.36754892
250	34.35364498
251	34.34734414
252	34.33913553
253	34.33053432
254	34.3189268
255	34.30633175
256	34.29668939
257	34.28849622
258	34.28141582
259	34.27277998
260	34.26654218
261	34.25769076
262	34.24944173
263	34.24122756
264	34.22991559
265	34.22430609
266	34.21488991
267	34.20798284
268	34.19789788
269	34.18946109
270	34.18172552
271	34.17437416
272	34.16628109
273	34.15387989
274	34.14566336
275	34.13785633
276	34.12898686
277	34.12119236
278	34.11388653
279	34.10796327
280	34.09771687
281	34.08961007
282	34.08342994
283	34.07448849
284	34.06925934
285	34.06098695
286	34.05581338
287	34.05018186
288	34.04360471
289	34.03625841
290	34.02804993
291	34.02092365
292	34.01264386
293	34.00541308
294	33.99392374
295	33.98549576
296	33.97433429
297	33.96593533
298	33.96078443
299	33.95169404
